iter	Passed	Remaining
471	695	777
472	696	776
473	697	774
474	698	772
475	699	770
476	700	768
477	702	766
478	704	765
479	705	763
480	706	762
481	707	760
482	708	758
483	709	756
484	710	754
485	712	753
486	713	751
487	714	749
488	715	748
489	716	746
490	718	744
491	719	742
492	720	741
493	722	739
494	723	737
495	724	736
496	725	734
497	726	732
498	727	730
499	728	728
500	729	726
501	731	725
502	732	723
503	733	721
504	734	719
505	735	718
506	736	716
507	737	714
508	738	712
509	740	711
510	741	709
511	742	707
512	744	706
513	745	704
514	746	703
515	747	701
516	748	699
517	750	698
518	751	696
519	752	694
520	753	693
521	754	691
522	756	689
523	757	687
524	758	686
525	760	685
526	761	683
527	763	682
528	764	680
529	765	678
530	766	677
531	767	675
532	769	673
533	770	672
534	771	670
535	773	669
536	775	668
537	776	666
538	777	665
539	779	663
540	781	663
541	782	661
542	784	659
543	785	658
544	786	656
545	787	654
546	788	653
547	790	651
548	791	650
549	792	648
550	793	646
551	794	645
552	796	644
553	798	643
554	800	641
555	801	639
556	802	638
557	803	636
558	805	635
559	806	633
560	807	631
561	809	630
562	810	629
563	811	627
564	813	626
565	814	624
566	815	622
567	816	621
568	819	620
569	820	619
570	822	617
571	823	615
572	824	614
573	825	612
574	826	611
575	827	609
576	829	607
577	830	606
578	831	604
579	832	603
580	833	601
581	835	599
582	836	598
583	837	596
584	838	594
585	839	593
586	840	591
587	842	589
588	843	588
589	844	586
590	845	585
591	846	583
592	848	582
593	849	580
594	850	579
595	852	577
596	853	575
597	854	574
598	855	572
599	856	571
600	858	569
601	859	568
602	860	566
603	861	564
604	862	563
605	863	561
606	865	560
607	866	558
608	867	556
609	868	555
610	869	553
611	870	552
612	871	550
613	872	548
614	874	547
615	875	545
616	876	543
617	877	542
618	878	540
619	879	539
620	880	537
621	881	535
622	883	534
623	884	532
624	885	531
625	886	529
626	887	527
627	888	526
628	889	524
629	890	523
630	891	521
631	893	520
632	894	518
633	895	517
634	897	515
635	898	514
636	899	512
637	900	510
638	901	509
639	903	507
640	904	506
641	905	504
642	906	503
643	907	501
644	908	500
645	910	498
646	911	497
647	912	495
648	913	494
649	914	492
650	917	491
651	918	490
652	919	488
653	921	487
654	922	485
655	923	484
656	924	482
657	926	481
658	927	479
659	928	478
660	930	477
661	931	475
662	932	474
663	934	472
664	935	471
665	936	469
666	938	468
667	939	467
668	940	465
669	942	464
670	943	462
671	944	461
672	946	459
673	947	458
674	948	456
675	950	455
676	951	454
677	953	452
678	954	451
679	955	449
680	956	448
681	957	446
682	959	445
683	960	443
684	961	442
685	963	440
686	964	439
687	965	438
688	966	436
689	968	434
690	969	433
691	970	431
692	971	430
693	972	428
694	974	427
695	975	426
696	976	424
697	977	423
698	979	421
699	980	420
700	981	418
701	982	416
702	983	415
703	984	413
704	985	412
705	987	411
706	989	409
707	990	408
708	991	407
709	992	405
710	994	404
711	995	402
712	996	401
713	998	399
714	999	398
715	1000	396
716	1002	395
717	1003	394
718	1005	392
719	1006	391
720	1007	390
721	1009	388
722	1010	387
723	1012	385
724	1013	384
725	1014	383
726	1016	381
727	1017	380
728	1019	378
729	1020	377
730	1021	376
731	1023	374
732	1024	373
733	1025	371
734	1026	370
735	1028	368
736	1029	367
737	1030	365
738	1031	364
739	1032	362
740	1033	361
741	1034	359
742	1035	358
743	1037	356
744	1038	355
745	1039	353
746	1040	352
747	1041	350
748	1042	349
749	1043	347
750	1044	346
751	1046	345
752	1047	343
753	1048	342
754	1049	340
755	1051	339
756	1052	337
757	1053	336
758	1054	334
759	1055	333
760	1057	332
761	1058	330
762	1059	329
763	1060	327
764	1062	326
765	1063	324
766	1064	323
767	1066	322
768	1067	320
769	1069	319
770	1071	318
771	1072	316
772	1074	315
773	1075	314
774	1077	312
775	1078	311
776	1080	310
777	1081	308
778	1083	307
779	1084	305
780	1086	304
781	1087	303
782	1089	301
783	1090	300
784	1092	299
785	1093	297
786	1094	296
787	1096	294
788	1097	293
789	1098	292
790	1099	290
791	1100	289
792	1102	287
793	1103	286
794	1104	284
795	1106	283
796	1107	282
797	1109	280
798	1110	279
799	1111	277
800	1112	276
801	1113	274
802	1115	273
803	1116	272
804	1117	270
805	1118	269
806	1120	267
807	1121	266
808	1122	265
809	1123	263
810	1124	262
811	1126	260
812	1127	259
813	1128	257
814	1129	256
815	1130	254
816	1131	253
817	1133	252
818	1134	250
819	1135	249
820	1136	247
821	1137	246
822	1139	244
823	1140	243
824	1141	242
825	1142	240
826	1143	239
827	1145	237
828	1146	236
829	1147	235
830	1148	233
831	1149	232
832	1150	230
833	1152	229
834	1153	227
835	1154	226
836	1155	224
837	1156	223
838	1157	222
839	1158	220
840	1159	219
841	1160	217
842	1161	216
843	1162	214
844	1164	213
845	1165	212
846	1166	210
847	1167	209
848	1168	207
849	1169	206
850	1170	204
851	1171	203
852	1173	202
853	1174	200
854	1176	199
855	1177	198
856	1178	196
857	1179	195
858	1180	193
859	1182	192
860	1183	191
861	1184	189
862	1186	188
863	1187	186
864	1188	185
865	1189	184
866	1190	182
867	1191	181
868	1192	179
869	1193	178
870	1195	176
871	1196	175
872	1197	174
873	1198	172
874	1199	171
875	1200	169
876	1202	168
877	1203	167
878	1204	165
879	1205	164
880	1206	163
881	1208	161
882	1209	160
883	1210	158
884	1212	157
885	1213	156
886	1214	154
887	1215	153
888	1216	151
889	1217	150
890	1219	149
891	1220	147
892	1221	146
893	1223	145
894	1224	143
895	1225	142
896	1226	140
897	1228	139
898	1229	138
899	1230	136
900	1231	135
901	1232	133
902	1234	132
903	1235	131
904	1236	129
905	1237	128
906	1239	127
907	1240	125
908	1242	124
909	1243	122
910	1244	121
911	1246	120
912	1247	118
913	1248	117
914	1249	116
915	1251	114
916	1252	113
917	1253	111
918	1254	110
919	1255	109
920	1257	107
921	1258	106
922	1259	105
923	1261	103
924	1262	102
925	1264	101
926	1265	99
927	1267	98
928	1268	96
929	1270	95
930	1272	94
931	1273	92
932	1274	91
933	1276	90
934	1278	88
935	1280	87
936	1281	86
937	1283	84
938	1285	83
939	1286	82
940	1288	80
941	1290	79
942	1291	78
943	1293	76
944	1294	75
945	1296	74
946	1298	72
947	1300	71
948	1302	70
949	1304	68
950	1306	67
951	1308	65
952	1310	64
953	1312	63
954	1314	61
955	1316	60
956	1317	59
957	1319	57
958	1321	56
959	1323	55
960	1325	53
961	1326	52
962	1328	51
963	1330	49
964	1332	48
965	1334	46
966	1336	45
967	1338	44
968	1340	42
969	1341	41
970	1343	40
971	1344	38
972	1346	37
973	1348	35
974	1349	34
975	1351	33
976	1354	31
977	1355	30
978	1357	29
979	1359	27
980	1361	26
981	1363	24
982	1365	23
983	1366	22
984	1368	20
985	1370	19
986	1372	18
987	1374	16
988	1376	15
989	1378	13
990	1381	12
991	1382	11
992	1385	9
993	1387	8
994	1389	6
995	1391	5
996	1393	4
997	1395	2
998	1397	1
999	1399	0
